p,q,model,auc_roc,auc_pr,accuracy,f1
0.8,1.8,Light GBM,0.9564255728735014,0.9490354213636598,0.8940436994911704,0.8954827280779452
0.8,1.8,Random Forest,0.9965264716055796,0.9953902122242262,0.954354983537863,0.9563475025046515
0.8,2.0,Logistic Regression,0.7439683699057568,0.7667844612158805,0.6945525291828794,0.6804446532018162
0.8,2.0,Light GBM,0.9552530526690737,0.9475626675668514,0.8940436994911704,0.8959129667744781
0.8,2.0,Random Forest,0.9968481352512091,0.9958134305144837,0.9542053277461838,0.9562106468231254
1.0,0.2,Logistic Regression,0.748585168210691,0.77418348944988,0.6994911703082909,0.6879079888094498
1.0,0.2,Light GBM,0.9605769645111067,0.9546259557950404,0.9022747680335229,0.9039282036192438
1.0,0.2,Random Forest,0.9965088676767768,0.9953381365530413,0.9519604908709967,0.9541625017849494
1.0,0.4,Logistic Regression,0.7383518655371604,0.7660817029834373,0.6954504639329542,0.6813840613746673
1.0,0.4,Light GBM,0.9554754982426977,0.9465104714511625,0.8953906016162826,0.8975824175824175
1.0,0.4,Random Forest,0.9966225093240352,0.995624361819737,0.9530080814127506,0.9551172098341909
1.0,0.6,Logistic Regression,0.7427380658128926,0.76677539827561,0.6978449565998204,0.6839881045547035
1.0,0.6,Light GBM,0.9568598031173019,0.9502158849654353,0.8967375037413948,0.8987973012613669
1.0,0.6,Random Forest,0.9968462539153065,0.9959220540403222,0.9531577372044299,0.9552537526804861
1.0,0.8,Logistic Regression,0.7258055947525419,0.7531011326387922,0.6815324753067944,0.6662484316185695
1.0,0.8,Light GBM,0.9556135524629777,0.9475441373909713,0.8943430110745286,0.8967232299590403
1.0,0.8,Random Forest,0.9966485792643995,0.9956276121681928,0.9537563603711464,0.9558003146903162
1.0,1.0,Logistic Regression,0.7396062686470622,0.7703856475014037,0.6908111343909009,0.6768845792930872
1.0,1.0,Light GBM,0.9555744027587194,0.9475193313057941,0.8992816521999402,0.9018234865061999
1.0,1.0,Random Forest,0.9969391112802123,0.9957753121160321,0.9510625561209218,0.9533456983877872
1.0,1.2,Logistic Regression,0.7448480288213494,0.7730244686190054,0.6957497755163125,0.6828887849009515
1.0,1.2,Light GBM,0.952186923084986,0.9455571151495522,0.8867105656988925,0.8894406309332554
1.0,1.2,Random Forest,0.9965084197396571,0.9954169462820577,0.9548039509129004,0.9567583046964491
1.0,1.4,Logistic Regression,0.7417394347983175,0.7695573572934726,0.6945525291828794,0.680043894027277
1.0,1.4,Light GBM,0.9564720687465224,0.9490067494990063,0.8985333732415445,0.9006738939349546
1.0,1.4,Random Forest,0.996992684559724,0.9960533912822878,0.9540556719545047,0.9560738303047647
1.0,1.6,Logistic Regression,0.7456484924541855,0.7694948314765481,0.6923076923076923,0.6790508897908211
1.0,1.6,Light GBM,0.9554496074771814,0.9478844969219065,0.8897036815324753,0.8919196363103095
1.0,1.6,Random Forest,0.9970803458540418,0.9964040629577616,0.9516611792876384,0.9538900785153462
1.0,1.8,Logistic Regression,0.7429528964554826,0.764684339023503,0.6945525291828794,0.6816409296521604
1.0,1.8,Light GBM,0.9560496640426809,0.9467330725486709,0.89583956899132,0.8981264637002342
1.0,1.8,Random Forest,0.9970014641272694,0.9962143730215347,0.9531577372044299,0.9552537526804861
1.0,2.0,Logistic Regression,0.7368145453424798,0.7587467747229364,0.6891649206824304,0.6760255810326002
1.0,2.0,Light GBM,0.957404853004507,0.948606605889599,0.8971864711164322,0.8992816302594927
1.0,2.0,Random Forest,0.9971699780716863,0.9965348269462856,0.9537563603711464,0.9558003146903162
1.2,0.2,Logistic Regression,0.7519814274519696,0.7737287769438345,0.7026339419335528,0.6890940384916289
1.2,0.2,Light GBM,0.9539671147859474,0.9468137748484721,0.8900029931158335,0.8923076923076922
1.2,0.2,Random Forest,0.9968664110856912,0.995932819187402,0.9531577372044299,0.9552537526804861
1.2,0.4,Logistic Regression,0.7374708628102087,0.7634584189751477,0.6878180185573182,0.6710816777041942
1.2,0.4,Light GBM,0.9547838833299395,0.9474571589088352,0.8932954205327747,0.8960489867327598
1.2,0.4,Random Forest,0.9970807937911614,0.9963077052904408,0.9525591140377132,0.9547078154022003
1.2,0.6,Logistic Regression,0.7527955979606678,0.7691520971491981,0.7009877282250823,0.6878125
1.2,0.6,Light GBM,0.9575453260852328,0.9506926702440726,0.9016761448668064,0.9036232947044154
1.2,0.6,Random Forest,0.9960130012853108,0.9945561269885981,0.9527087698293923,0.9548442412117747
1.2,0.8,Logistic Regression,0.7499305921433084,0.7744357918622033,0.7021849745585154,0.6876961707470182
1.2,0.8,Light GBM,0.9561313677733073,0.9465900609366713,0.8971864711164322,0.89963476990504
1.2,0.8,Random Forest,0.9968909132461367,0.9960548290800344,0.953307392996109,0.9553903345724908
1.2,1.0,Logistic Regression,0.7472547053778704,0.7721887350584402,0.6991918587249326,0.6863295880149812
1.2,1.0,Light GBM,0.9605422941780447,0.9527809550514791,0.899131996408261,0.9012888107791447
1.2,1.0,Random Forest,0.9966024865347862,0.9955100952471669,0.9534570487877881,0.9555269555269555
1.2,1.2,Logistic Regression,0.7456024445182844,0.7687485675704273,0.7015863513917988,0.6884374999999999
1.2,1.2,Light GBM,0.9592757071784879,0.9519743061213412,0.8970368153247531,0.8991498094400469
1.2,1.2,Random Forest,0.9966272126637916,0.995680937806193,0.9545046393295421,0.9564843973661609
1.2,1.4,Logistic Regression,0.7437487911296983,0.7675148936765579,0.696348398683029,0.6851823118696664
1.2,1.4,Light GBM,0.9555029119944213,0.9477503393074147,0.8956899131996409,0.897785599061446
1.2,1.4,Random Forest,0.99706686294674,0.996144784197878,0.9527087698293923,0.9548442412117747
1.2,1.6,Logistic Regression,0.7445840146830205,0.7729646209394635,0.6911104459742592,0.6754716981132076
1.2,1.6,Light GBM,0.9568216388747067,0.9503107840993336,0.894791978449566,0.8970868101302883
1.2,1.6,Random Forest,0.9964843655163312,0.9952059218717357,0.9525591140377132,0.9547078154022003
1.2,1.8,Logistic Regression,0.7411554143817021,0.7657507123370393,0.6945525291828794,0.6821367388257281
1.2,1.8,Light GBM,0.9546330181080372,0.9476771903022139,0.8959892247829991,0.8983472283165131
1.2,1.8,Random Forest,0.9965485996992909,0.9955539789735196,0.9521101466626758,0.9542987717794916
1.2,2.0,Logistic Regression,0.735939097035812,0.7626154003664856,0.6915594133492966,0.6789219504595733
1.2,2.0,Light GBM,0.9556567336013132,0.9450983572979572,0.8943430110745286,0.8968439509059029
1.2,2.0,Random Forest,0.9967690743495885,0.9959849035317856,0.9531577372044299,0.9552537526804861
1.4,0.2,Logistic Regression,0.7427021412558956,0.7693037490705773,0.6945525291828794,0.6795415292824619
1.4,0.2,Light GBM,0.9557486502982679,0.9501065315608627,0.8898533373241544,0.8917010005885815
1.4,0.2,Random Forest,0.9961995223019381,0.9948163325230702,0.9545046393295421,0.9564843973661609
1.4,0.4,Logistic Regression,0.740704700051898,0.7680468499551385,0.688715953307393,0.6761133603238867
1.4,0.4,Light GBM,0.9554418133712992,0.9482498186626998,0.8964381921580366,0.8982652161129079
1.4,0.4,Random Forest,0.9966099222909726,0.9955796401844607,0.953307392996109,0.9553903345724908
